iter	Passed	Remaining
605	9405	29395
606	9419	29375
607	9433	29354
608	9449	29342
609	9465	29326
610	9479	29305
611	9492	29284
612	9506	29263
613	9521	29246
614	9535	29226
615	9549	29206
616	9565	29193
617	9581	29177
618	9595	29158
619	9609	29139
620	9623	29117
621	9638	29101
622	9652	29082
623	9667	29064
624	9685	29057
625	9704	29051
626	9721	29040
627	9738	29028
628	9753	29012
629	9768	28994
630	9782	28976
631	9798	28960
632	9813	28945
633	9828	28928
634	9846	28920
635	9862	28905
636	9877	28888
637	9892	28872
638	9909	28860
639	9926	28848
640	9946	28847
641	9966	28842
642	9983	28831
643	9999	28818
644	10016	28807
645	10032	28793
646	10048	28778
647	10065	28766
648	10079	28747
649	10095	28732
650	10112	28722
651	10132	28720
652	10149	28706
653	10165	28693
654	10180	28677
655	10197	28666
656	10212	28648
657	10227	28629
658	10241	28612
659	10256	28593
660	10274	28585
661	10292	28577
662	10309	28565
663	10324	28547
664	10338	28529
665	10353	28512
666	10368	28493
667	10382	28475
668	10396	28455
669	10411	28437
670	10426	28420
671	10440	28401
672	10455	28383
673	10470	28366
674	10485	28348
675	10500	28331
676	10513	28311
677	10527	28289
678	10545	28281
679	10561	28266
680	10575	28248
681	10590	28231
682	10606	28215
683	10622	28202
684	10637	28185
685	10653	28171
686	10671	28162
687	10686	28144
688	10701	28129
689	10721	28124
690	10739	28115
691	10752	28094
692	10767	28076
693	10784	28064
694	10800	28049
695	10815	28033
696	10831	28018
697	10848	28007
698	10862	27988
699	10878	27974
700	10893	27957
701	10911	27947
702	10927	27931
703	10941	27912
704	10956	27896
705	10970	27876
706	10990	27872
707	11006	27857
708	11020	27839
709	11037	27827
710	11051	27808
711	11066	27789
712	11079	27769
713	11095	27754
714	11110	27737
715	11125	27721
716	11139	27701
717	11156	27689
718	11171	27672
719	11185	27652
720	11199	27633
721	11212	27612
722	11226	27592
723	11240	27572
724	11254	27553
725	11269	27536
726	11287	27528
727	11303	27514
728	11320	27502
729	11336	27486
730	11351	27469
731	11366	27452
732	11382	27440
733	11399	27427
734	11416	27415
735	11433	27403
736	11449	27387
737	11464	27372
738	11483	27364
739	11502	27357
740	11518	27342
741	11534	27329
742	11550	27314
743	11565	27296
744	11578	27276
745	11592	27257
746	11607	27238
747	11625	27228
748	11643	27220
749	11659	27206
750	11674	27187
751	11689	27172
752	11704	27153
753	11719	27138
754	11735	27122
755	11750	27107
756	11765	27090
757	11780	27073
758	11794	27055
759	11809	27037
760	11825	27022
761	11840	27006
762	11855	26989
763	11871	26975
764	11887	26960
765	11908	26956
766	11924	26943
767	11938	26923
768	11952	26903
769	11965	26883
770	11980	26867
771	11998	26855
772	12013	26839
